gavin@Nitro-AN515-58-df85a443:~$ python3  ml.py --enc_width 32 --hidden 48 --layers 1 --epochs 200
Params: 17,098 (enc_width=32, hidden=48, layers=1)
Ep094  train=75.84%  val=72.03%  best=72.47%  time=13.5s
Ep095  train=76.06%  val=72.07%  best=72.47%  time=12.7s
Ep096  train=76.21%  val=72.11%  best=72.47%  time=11.6s
Ep097  train=75.91%  val=71.83%  best=72.47%  time=11.9s
Ep098  train=75.96%  val=72.46%  best=72.47%  time=12.4s
Ep099  train=75.76%  val=72.07%  best=72.47%  time=12.4s
Ep100  train=75.53%  val=71.89%  best=72.47%  time=17.1s
Ep101  train=76.26%  val=72.06%  best=72.47%  time=13.9s
Ep102  train=76.13%  val=72.43%  best=72.47%  time=17.8s
Ep103  train=76.19%  val=72.88%  best=72.88%  time=17.6s
Ep104  train=76.90%  val=72.49%  best=72.88%  time=18.7s
Ep105  train=76.61%  val=72.56%  best=72.88%  time=22.1s
Ep106  train=76.44%  val=72.39%  best=72.88%  time=49.2s
Ep107  train=76.20%  val=72.36%  best=72.88%  time=15.1s
Ep108  train=76.82%  val=72.89%  best=72.89%  time=13.3s
Ep109  train=76.71%  val=72.41%  best=72.89%  time=22.0s
Ep110  train=76.61%  val=72.81%  best=72.89%  time=22.6s
Ep111  train=76.76%  val=73.05%  best=73.05%  time=18.6s
Ep112  train=77.04%  val=72.84%  best=73.05%  time=16.1s
Ep113  train=77.07%  val=73.32%  best=73.32%  time=16.9s
Ep114  train=77.20%  val=72.95%  best=73.32%  time=16.1s
Ep115  train=76.99%  val=73.23%  best=73.32%  time=16.3s
Ep116  train=76.98%  val=72.85%  best=73.32%  time=17.2s
Ep117  train=76.90%  val=72.80%  best=73.32%  time=20.1s
Ep118  train=77.29%  val=72.99%  best=73.32%  time=17.3s
Ep119  train=77.16%  val=73.06%  best=73.32%  time=17.7s
Ep120  train=77.37%  val=73.21%  best=73.32%  time=17.2s
Ep121  train=77.36%  val=73.15%  best=73.32%  time=16.1s
Ep122  train=77.18%  val=72.98%  best=73.32%  time=19.5s
Ep123  train=77.22%  val=73.34%  best=73.34%  time=17.6s
Ep124  train=76.98%  val=72.74%  best=73.34%  time=15.6s
Ep125  train=77.47%  val=73.83%  best=73.83%  time=19.1s
Ep126  train=77.40%  val=73.40%  best=73.83%  time=17.8s
Ep127  train=77.72%  val=73.47%  best=73.83%  time=17.1s
Ep128  train=77.44%  val=73.12%  best=73.83%  time=18.1s
Ep129  train=77.36%  val=73.55%  best=73.83%  time=15.9s
Ep130  train=77.82%  val=73.31%  best=73.83%  time=15.3s
Ep131  train=77.51%  val=73.37%  best=73.83%  time=16.0s
Ep132  train=77.46%  val=73.38%  best=73.83%  time=15.6s
Ep133  train=77.56%  val=73.05%  best=73.83%  time=16.4s
Ep134  train=77.52%  val=73.45%  best=73.83%  time=17.5s
Ep135  train=77.86%  val=73.72%  best=73.83%  time=17.5s
Ep136  train=77.78%  val=73.46%  best=73.83%  time=15.9s
Ep137  train=77.72%  val=74.06%  best=74.06%  time=15.8s
Ep138  train=77.84%  val=73.74%  best=74.06%  time=17.1s
Ep139  train=77.59%  val=73.22%  best=74.06%  time=17.7s
Ep140  train=78.10%  val=73.99%  best=74.06%  time=19.2s
Ep141  train=78.33%  val=73.76%  best=74.06%  time=15.9s
Ep142  train=77.92%  val=74.10%  best=74.10%  time=18.2s
Ep143  train=78.10%  val=73.60%  best=74.10%  time=18.3s
Ep144  train=78.09%  val=73.71%  best=74.10%  time=22.4s
Ep145  train=77.84%  val=73.47%  best=74.10%  time=22.3s
Ep146  train=78.22%  val=73.87%  best=74.10%  time=19.1s
Ep147  train=78.15%  val=73.59%  best=74.10%  time=19.7s
Ep148  train=78.28%  val=74.01%  best=74.10%  time=21.2s
Ep149  train=78.36%  val=73.89%  best=74.10%  time=22.0s
Ep150  train=78.39%  val=73.97%  best=74.10%  time=20.0s
Ep151  train=78.30%  val=73.60%  best=74.10%  time=18.3s
Ep152  train=78.24%  val=73.72%  best=74.10%  time=20.1s
Ep153  train=78.48%  val=73.91%  best=74.10%  time=25.6s
Ep154  train=78.18%  val=74.20%  best=74.20%  time=24.2s
Ep155  train=78.32%  val=74.14%  best=74.20%  time=20.5s
Ep156  train=78.23%  val=74.00%  best=74.20%  time=18.7s
Ep157  train=78.19%  val=73.92%  best=74.20%  time=18.6s
Ep158  train=78.61%  val=74.32%  best=74.32%  time=18.2s
Ep159  train=78.35%  val=73.89%  best=74.32%  time=17.4s
Ep160  train=78.45%  val=74.45%  best=74.45%  time=15.7s
Ep161  train=78.47%  val=73.88%  best=74.45%  time=14.3s
Ep162  train=78.36%  val=74.12%  best=74.45%  time=14.5s
Ep163  train=78.31%  val=73.97%  best=74.45%  time=13.7s
Ep164  train=78.58%  val=74.07%  best=74.45%  time=13.7s
Ep165  train=78.60%  val=74.15%  best=74.45%  time=13.3s
Ep166  train=78.64%  val=74.11%  best=74.45%  time=13.8s
Ep167  train=78.58%  val=74.16%  best=74.45%  time=13.5s
Ep168  train=78.50%  val=73.98%  best=74.45%  time=13.0s
Ep169  train=78.49%  val=74.21%  best=74.45%  time=13.8s
Ep170  train=78.54%  val=74.01%  best=74.45%  time=12.9s
Ep171  train=78.62%  val=74.21%  best=74.45%  time=12.5s
Ep172  train=78.66%  val=73.98%  best=74.45%  time=13.1s
Ep173  train=78.69%  val=74.06%  best=74.45%  time=15.8s
Ep174  train=78.56%  val=73.95%  best=74.45%  time=15.9s
Ep175  train=78.67%  val=74.31%  best=74.45%  time=14.7s
Ep176  train=78.89%  val=74.23%  best=74.45%  time=16.1s
Ep177  train=78.70%  val=73.98%  best=74.45%  time=14.1s
Ep178  train=78.49%  val=74.12%  best=74.45%  time=14.0s
Ep179  train=78.57%  val=74.29%  best=74.45%  time=14.5s
Ep180  train=78.56%  val=74.07%  best=74.45%  time=17.8s
Ep181  train=78.63%  val=74.19%  best=74.45%  time=14.9s
Ep182  train=78.84%  val=74.31%  best=74.45%  time=14.1s
Ep183  train=78.82%  val=74.22%  best=74.45%  time=13.3s
Ep184  train=78.71%  val=74.24%  best=74.45%  time=13.9s
Ep185  train=78.64%  val=74.17%  best=74.45%  time=12.7s
Ep186  train=78.78%  val=74.20%  best=74.45%  time=11.8s
Ep187  train=78.52%  val=74.14%  best=74.45%  time=12.2s
Ep188  train=78.85%  val=74.18%  best=74.45%  time=12.8s
Ep189  train=78.74%  val=74.35%  best=74.45%  time=12.7s
Ep190  train=78.78%  val=74.12%  best=74.45%  time=13.1s
Ep191  train=78.83%  val=74.12%  best=74.45%  time=13.5s
